title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà riêng tại đường Hoàng Quốc Việt	pr42250668	50.0	11.0	8	6	2	21.045957278034	105.799356725121	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại đường Thúy Lĩnh	pr42077482	288.4	9.6	3	3	2	20.9744221346861	105.893777128509	Hoàng Mai	Hà Nội
Nhà riêng tại đường Huỳnh Thúc Kháng	pr42422454	55.0	19.0	6	6	2	21.0183909413396	105.81126495674	Đống Đa	Hà Nội
Nhà riêng tại phường Đại Mỗ	pr42554879	70.0	11.2	5	6	2	20.9940149452867	105.760948228952	Nam Từ Liêm	Hà Nội
Nhà mặt phố tại đường An Hòa	pr42570722	30.0	7.7	4	3	2	20.98388581126	105.789829117196	Hà Đông	Hà Nội
Căn hộ chung cư tại Platinum Residences	pr41943353	113.0	9.2	3	2	2	21.0270671844482	105.817451477051	Ba Đình	Hà Nội
Căn hộ chung cư tại The Emerald	pr42586267	124.0	7.8	4	3	2	21.022163287487857	105.771835784655	Nam Từ Liêm	Hà Nội
Nhà riêng tại phố Trần Quý Kiên	pr42602281	52.0	13.5	6	6	2	21.0376671691918	105.792372492467	Cầu Giấy	Hà Nội
Nhà riêng tại phường Phú Thượng	pr42573111	40.0	7.4	1	1	2	21.084700112476902	105.80349159805588	Tây Hồ	Hà Nội
Nhà riêng tại đường 422B	pr42221657	42.5	10.5	4	4	2	21.0391050331204	105.727306240959	Hoài Đức	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	pr42640835	45.0	14.5	4	5	2	21.0155347617238	105.824513288307	Đống Đa	Hà Nội
Nhà riêng tại đường Vũ Trọng Phụng	pr42484472	36.0	7.2	4	3	2	20.9995831601338	105.808672839511	Thanh Xuân	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42583520	50.0	18.5	5	5	2	20.9884657235412	105.857095777277	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đặng Xá 2	pr42619224	132.0	16.5	6	6	2	21.016109375352357	105.94894595933329	Gia Lâm	Hà Nội
Nhà riêng tại phường Quang Trung	pr42540495	35.0	7.5	5	4	2	20.9704707896083	105.770833851094	Hà Đông	Hà Nội
