[2025-04-24T06:17:04.474+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118272979.htm
[2025-04-24T06:17:13.319+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118274905.htm
[2025-04-24T06:17:20.230+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118288173.htm
[2025-04-24T06:17:26.283+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118320988.htm
[2025-04-24T06:17:32.497+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118350462.htm
[2025-04-24T06:17:40.335+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118383092.htm
[2025-04-24T06:17:48.047+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118469287.htm
[2025-04-24T06:17:55.110+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118548045.htm
[2025-04-24T06:18:02.335+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118556973.htm
[2025-04-24T06:18:08.999+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118616169.htm
[2025-04-24T06:18:15.666+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118636500.htm
[2025-04-24T06:18:23.685+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118649504.htm
[2025-04-24T06:18:31.768+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118669186.htm
[2025-04-24T06:18:40.037+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118778490.htm
[2025-04-24T06:18:46.922+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118786282.htm
[2025-04-24T06:18:54.361+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118826543.htm
[2025-04-24T06:19:01.767+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118867742.htm
[2025-04-24T06:19:09.256+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118885892.htm
[2025-04-24T06:19:15.124+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118938820.htm
[2025-04-24T06:19:22.600+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118980224.htm
[2025-04-24T06:19:28.418+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118994678.htm
[2025-04-24T06:19:35.514+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/118998734.htm
[2025-04-24T06:19:41.581+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119008305.htm
[2025-04-24T06:19:49.387+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119030713.htm
[2025-04-24T06:19:56.509+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119032960.htm
[2025-04-24T06:20:06.060+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119044918.htm
[2025-04-24T06:20:14.030+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119054682.htm
[2025-04-24T06:20:21.643+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119058258.htm
[2025-04-24T06:20:31.870+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119062276.htm
[2025-04-24T06:20:38.230+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119102838.htm
[2025-04-24T06:20:47.866+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119117616.htm
[2025-04-24T06:20:56.640+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119118098.htm
[2025-04-24T06:21:05.469+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119140857.htm
[2025-04-24T06:21:15.019+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119150940.htm
[2025-04-24T06:21:22.679+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119165437.htm
[2025-04-24T06:21:30.327+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119200880.htm
[2025-04-24T06:21:37.605+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119218905.htm
[2025-04-24T06:21:48.753+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119224296.htm
[2025-04-24T06:21:56.418+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119234513.htm
[2025-04-24T06:22:04.257+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119237409.htm
[2025-04-24T06:22:11.803+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119266292.htm
[2025-04-24T06:22:18.798+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119275885.htm
[2025-04-24T06:22:26.975+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119288002.htm
[2025-04-24T06:22:35.492+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/119288318.htm
